YEAR,MONTH,URBAN,NON URBAN,UHII,% GROWTH URBAN,% GROWTH NONURBAN,AOI
2001,January,21.58,21,,,,21.29
,February,27.57,26.24,,,,26.905
,March,34.96,33.65,,,,34.305
,April,41.03,40.69,,,,40.86
,May,35.87,35.7,,,,35.785
,June,35.49,35.52,,,,35.505
,July,33.03,31.54,,,,32.285
,August,30.76,29.13,,,,29.945
,September,33.11,32.11,,,,32.61
,October,32.09,31.35,,,,31.72
,November,28.26,27.97,,,,28.115
,December,23.98,23.6,,,,23.79
2002,January,20.28,19.89,,,,20.085
,February,26.01,24.44,,,,25.225
,March,35.38,34.04,,,,34.71
,April,37.39,37.35,,,,37.37
,May,36.78,36.83,,,,36.805
,June,35.09,36.68,,,,35.885
,July,35.42,36.05,,,,35.735
,August,36.82,36.15,,,,36.485
,September,31.99,31.01,,,,31.5
,October,32.12,31.67,,,,31.895
,November,28.78,28.67,,,,28.725
,December,23.9,23.66,,,,23.78
2003,January,22.38,21.57,,,,21.975
,February,25.92,24.48,,,,25.2
,March,32.63,31.08,,,,31.855
,April,39.28,38.89,,,,39.085
,May,37.66,38.07,,,,37.865
,June,37.74,38.41,,,,38.075
,July,37.54,36.51,,,,37.025
,August,33.91,32.43,,,,33.17
,September,31.91,30.35,,,,31.13
,October,32.94,32.17,,,,32.555
,November,27.99,27.9,,,,27.945
,December,25.7,25.57,,,,25.635
2004,January,20.05,18.84,,,,19.445
,February,26.29,24.7,,,,25.495
,March,34.56,33.26,,,,33.91
,April,37.03,36.54,,,,36.785
,May,38.34,38.54,,,,38.44
,June,33.71,33.39,,,,33.55
,July,27.47,26.05,,,,26.76
,August,31.29,29.5,,,,30.395
,September,33.29,31.36,,,,32.325
,October,30.9,32.17,,,,31.535
,November,27.25,27.35,,,,27.3
,December,22.99,22.82,,,,22.905
2005,January,21.72,21.31,,,,21.515
,February,26.84,25.64,,,,26.24
,March,34.86,33.71,,,,34.285
,April,39.38,39.48,,,,39.43
,May,38.16,38.26,,,,38.21
,June,39.85,40.22,,,,40.035
,July,33.46,32.52,,,,32.99
