YEAR,MONTH,MEAN,MIN,MAX,yearly,MIN,MAX,UHII MONTHLY,UHII YEARLY,YEAR,11,MEAN,MIN,MAX,yearly,MIN,MAX
2001,January,21.58,19.76,24.41,31.4775,29.06,33.55,0.58,0.77,2001,January,21,18.75,24.41,30.70833333,27.81,33.57
,February,27.57,24.55,29.27,,,,1.33,,,February,26.24,23.77,29.24,,,
,March,34.96,32.35,36.46,,,,1.31,,,March,33.65,30.73,36.78,,,
,April,41.03,39.32,42.48,,,,0.34,,,April,40.69,36.77,43.14,,,
,May,35.87,34.62,37.11,,,,0.17,,,May,35.7,33.13,37.23,,,
,June,35.49,32.82,39.31,,,,-0.03,,,June,35.52,32.08,40.25,,,
,July,33.03,29.91,36.01,,,,1.49,,,July,31.54,27.57,35.88,,,
,August,30.76,25.42,33.86,,,,1.63,,,August,29.13,24.86,33,,,
,September,33.11,30.99,35.04,,,,1,,,September,32.11,29.6,34.48,,,
,October,32.09,30.02,33.18,,,,0.74,,,October,31.35,29.42,32.96,,,
,November,28.26,26.6,29.34,,,,0.29,,,November,27.97,25.81,29.29,,,
,December,23.98,22.4,26.11,,,,0.38,,,December,23.6,21.27,26.19,,,
2002,January,20.28,16.59,22.06,31.66333333,28.87,34.24,0.39,0.29,2002,January,19.89,16.59,22.05,31.37,28.25,34.46
,February,26.01,23.52,27,,,,1.57,,,February,24.44,22.73,27.02,,,
,March,35.38,32.67,36.79,,,,1.34,,,March,34.04,31.2,37.01,,,
,April,37.39,35.85,39.42,,,,0.04,,,April,37.35,34.47,39.36,,,
,May,36.78,34.22,39.88,,,,-0.05,,,May,36.83,35.1,40.37,,,
,June,35.09,32.71,39.64,,,,-1.59,,,June,36.68,32.08,42.13,,,
,July,35.42,32.44,42.35,,,,-0.63,,,July,36.05,29.71,42.35,,,
,August,36.82,30.21,40.45,,,,0.67,,,August,36.15,30.52,40.29,,,
,September,31.99,29.12,33.47,,,,0.98,,,September,31.01,29.12,33.2,,,
,October,32.12,29.65,33.23,,,,0.45,,,October,31.67,29.4,33.54,,,
,November,28.78,26.93,30.09,,,,0.11,,,November,28.67,26.51,30.09,,,
,December,23.9,22.52,26.54,,,,0.24,,,December,23.66,21.61,26.09,,,
